age,salary
22,1269268.523086205
28,1600109.808150727
38,2050001.385518352
26,1504230.2002686495
33,1833055.6608473728
23,1335453.5837464288
39,2161400.6839216803
36,1995614.0007949863
22,1301250.6682566754
25,1411369.2778725326
22,1293938.8762926862
28,1574263.1280910547
22,1320401.4683285973
27,1584492.022129866
29,1640670.892907078
39,2184906.9003760493
18,1096777.5296508726
24,1405236.999091791
26,1513717.947196868
39,2133640.9984945636
36,2022000.1887097487
26,1484583.107470844
37,2041943.5065777837
35,1940917.4767232432
28,1573084.0880498998
21,1228493.0275276634
36,2014856.5467991112
35,1896042.1624411875
16,981618.3887671229
21,1287264.5366378448
18,1105046.916626829
30,1730607.9560290782
25,1449793.706814397
25,1421525.3577759254
20,1240109.2501077864
17,1028006.5858398238
37,2048018.0281626377
28,1581268.043647795
22,1276209.944713231
28,1614581.2043838075
17,1034681.0811994661
17,1073936.3341819225
35,1923622.5152194644
24,1407706.3190294697
30,1701165.2145653307
31,1755624.1291184581
39,2148768.5024789902
34,1863577.0883022498
25,1464031.3094388093
38,2105045.285280069
40,2188879.4821855472
35,1954117.482131652
29,1663595.683865965
30,1713549.9269184934
30,1694763.456137285
17,1036926.0565243498
20,1211669.3625326364
26,1524346.8256281437
25,1454133.8014499205
29,1657528.0914297446
30,1714385.5047384065
21,1246474.24080691
20,1200905.8992865016
32,1807799.198883955
23,1340885.4997831897
20,1237412.7851369185
32,1792369.8796059259
21,1256827.7216611216
31,1767603.2076813509
32,1794339.2563825804
25,1438919.981082327
27,1554630.9365055664
35,1990196.1549794225
22,1321176.2893426558
24,1374788.1196240028
32,1804424.26804785
26,1520182.2381251012
18,1103772.7140815954
21,1220391.6165972254
23,1320797.3294029643
40,2213330.89786342
31,1754172.8381297402
24,1410597.8109919983
16,1015808.6042936847
30,1695490.0263111633
29,1631393.9971472137
22,1297497.4394351053
30,1670476.4645337625
16,1028003.5707158875
21,1252513.069480809
30,1696282.8126235162
30,1697705.0251661954
32,1798089.3578199272
27,1526773.7959055481
17,1054079.9892222143
16,995190.0208303521
21,1215876.8046925166
37,2033434.7920881168
31,1749227.9180824622
33,1875602.5853794322
25,1484995.0783889259
32,1830549.0469195903
34,1905446.034611035
22,1299262.7219404595
24,1387238.1106465196
39,2141494.296056038
37,2079464.4869127893
23,1338359.0663577584
22,1344569.1900141176
26,1482493.9837967537
23,1376193.675733334
16,973617.7708935196
27,1529688.6667618903
22,1317280.8725214845
38,2084425.8794058906
27,1544107.2832561259
31,1764340.008694312
35,1972591.6170845493
30,1696341.784196246
35,1975966.0493187956
31,1777810.9250737869
28,1572662.185812993
38,2113166.7892482323
34,1925655.237056707
19,1152097.2653188377
36,2019116.971652264
34,1914239.2034268682
23,1345836.5614258246
37,2027450.2919365999
26,1534846.2769239247
16,988658.0205399442
27,1574726.8632522188
40,2194649.749561695
26,1514099.8757201228
18,1082627.709182929
20,1189422.591248597
21,1237596.0309089217
24,1425535.09629826
34,1872011.8856343515
26,1527655.4182283555
18,1100994.813308892
31,1733845.6004730144
30,1709252.9979249127
29,1657138.176984314
31,1759148.7803224614
31,1742659.297881389
40,2213244.142784406
24,1382228.3075048607
33,1849399.5310438306
22,1245536.913742499
22,1294658.5892323381
21,1232245.3289920015
36,2023331.342702079
28,1562521.6696632984
29,1653643.794017671
24,1410583.6998289395
27,1548427.1146325525
21,1234491.8575197929
28,1615801.6542489142
22,1269240.1511286085
27,1539740.105016065
24,1394579.9043022322
34,1923690.7849102877
32,1815419.631783863
38,2139109.7308792756
35,1958389.9454461944
27,1551774.4082743532
28,1621954.5562209394
23,1346290.910298554
39,2169805.329954099
26,1503550.4245103411
36,1974389.0684482525
40,2217466.7062542457
34,1921479.3908287548
37,2046287.781303859
29,1709924.7819079629
16,963240.7703389005
35,1929746.755012412
38,2069218.9738458435
20,1201798.7679164198
38,2099820.9532045554
25,1459782.286724861
26,1488871.717052418
23,1326969.913772531
28,1608035.0382001137
24,1380599.0399675595
27,1540139.5148923516
19,1155678.0118625984
16,962556.4851825886
35,1968693.6412579266
36,1976894.6511362055
17,1080135.3718423713
28,1601619.5615869998
19,1161938.6198564619
38,2113849.2824055334
24,1402623.909786868
39,2183493.693334828
18,1132838.603517074
23,1349265.8560876201
20,1230397.7015022016
30,1730547.720583115
21,1229481.4312572118
30,1688373.630360696
18,1100724.0527851966
24,1380262.3607757993
29,1638999.688432549
33,1879480.1546024468
27,1573513.7080646204
21,1279435.3851099107
32,1802129.7238920536
21,1247790.9197738457
26,1514982.4634387316
33,1854946.0577819292
23,1341255.692662778
38,2055784.8115603589
29,1628063.306278188
40,2182866.758900768
37,2043830.0413899426
30,1677210.7155370237
20,1226535.4920090958
21,1212484.317678457
26,1492645.534250488
29,1619721.5356651547
27,1565634.8045609563
24,1369320.7597546275
30,1721196.0884986273
32,1803917.8566993517
31,1739024.5141888093
21,1233860.6914395476
39,2121997.954435647
40,2184586.414806557
40,2229236.817187872
31,1738388.2867140297
30,1689915.798093993
18,1111453.034179808
39,2099781.422699057
20,1218444.9588234387
31,1755324.4596926912
27,1588069.3521725112
20,1205754.7094352865
29,1664719.2640744555
17,1059378.433036821
39,2131918.2166770184
29,1613441.8156256557
26,1520145.9813471623
33,1839265.238793134
29,1625128.3881492028
26,1525555.327271833
27,1583007.383356381
38,2128142.53051434
28,1620471.7329325
37,2021729.8280350363
27,1556215.5991365982
16,1002451.7713119849
33,1812519.6845013932
16,1008794.8279120636
19,1151818.5201695696
21,1242791.0069367941
27,1555135.1736007584
20,1255071.5443134666
19,1164639.2267677013
38,2100199.4077052246
19,1104593.0611561257
32,1794206.7090034913
35,1951780.2450735804
27,1545698.125772267
36,2010738.6094530453
36,1973573.0322934766
40,2182616.481825387
22,1303353.0292945341
19,1095665.2682320937
34,1897117.11682382
33,1845147.516549373
35,1928907.515773325
26,1493921.3064695972
33,1847364.3635409016
22,1292843.9041976698
16,1003274.4451011603
26,1485676.722736547
29,1638075.7916665017
38,2117207.8717794116
35,1927815.2573279398
27,1521321.252519301
18,1094419.1526487314
22,1316380.601801181
16,971175.3333327196
32,1760800.9583348022
19,1173335.6632438048
40,2210644.653725298
27,1557706.1534142583
37,2024091.567980018
38,2119785.9399086693
25,1470854.3222786537
39,2175817.829052788
16,1015291.2334405837
29,1663902.8485503593
26,1532083.642402922
18,1119156.1851099716
26,1502525.6227447514
33,1844934.7134897462
28,1608497.7039180296
16,980882.3482394415
27,1565175.9246299632
36,2008136.5570965835
27,1555512.7356465815
30,1668611.2221189148
35,1994439.8457836905
23,1357404.4437237834
28,1630526.0639997288
19,1130812.5054151623
23,1355286.76936756
26,1511359.4891764866
39,2117280.6529259128
28,1610185.107275979
26,1478186.8005126142
19,1127718.428095999
29,1662407.0273040566
20,1206699.5218045774
17,1036162.2641797287
21,1245005.1509917905
36,2000322.1014627453
24,1394714.458117329
22,1292029.414008486
22,1352584.7423578245
32,1788823.1606614375
29,1618419.7340485952
16,966310.7177091532
19,1177020.9461126863
16,982254.1657567836
36,1999152.9412368578
20,1153084.235149932
34,1888523.615934141
28,1599185.0728436562
24,1401057.026197379
39,2105344.693228461
35,1976189.6068093344
19,1179250.3466523995
31,1748571.1451201134
37,2078214.0680637732
35,1953944.677548141
22,1271032.1325373033
31,1759938.6303135972
33,1823458.83915277
27,1556637.0745355983
34,1909491.6850587905
19,1138793.984462037
40,2214757.4518126417
36,1992544.2857757362
26,1509480.6866114864
27,1531635.3307518915
21,1223067.7725427628
30,1705759.4998742829
38,2059932.617411996
27,1517075.3262206004
18,1097861.7074473049
29,1661637.2986890841
37,2015643.954851562
37,2049953.1722362607
34,1907628.466340841
23,1341533.6090200697
21,1281315.7709847796
38,2098349.645283688
20,1191393.6407505556
28,1604230.6507883104
23,1344769.229772485
26,1526277.7305193688
22,1299746.0639476096
21,1214560.2094750286
34,1883242.3681092667
27,1533273.9716008815
32,1778296.4125977885
21,1231903.9983252254
31,1767195.2812959217
18,1104502.334540768
18,1092904.7265528904
40,2176574.117100199
31,1750481.1540612637
35,1944031.0214901979
23,1343437.143357067
23,1349565.830802246
34,1935493.706831749
33,1834847.7943422343
27,1529541.0014363858
39,2184137.1584833465
35,1967837.9515101418
17,1051423.9123747898
27,1556239.9672363792
30,1688295.7299587962
